movieId,title,rating_count,similarity
50,Star Wars (1977),583,0.7345720560109743
181,Return of the Jedi (1983),507,0.6999249712920798
121,Independence Day (ID4) (1996),429,0.6897856040758552
117,"Rock, The (1996)",378,0.6645547887084214
405,Mission: Impossible (1996),344,0.6413217603411474
151,Willy Wonka and the Chocolate Factory (1971),326,0.6381576334869848
222,Star Trek: First Contact (1996),365,0.6367273145962253
100,Fargo (1996),508,0.6306007607613893
237,Jerry Maguire (1996),384,0.6240747014811376
174,Raiders of the Lost Ark (1981),420,0.6223824949957648
